Year,SERIES,តំបន់យោង,ការរួមភេទ,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,Value
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ស្រី,,ភាគរយ,82.1
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ស្រី,,ភាគរយ,86.4
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ស្រី,,ភាគរយ,82.1
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ស្រី,,ភាគរយ,80.2
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ស្រី,,ភាគរយ,79.3
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ស្រី,,ភាគរយ,81.0
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ស្រី,,ភាគរយ,84.8
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ស្រី,,ភាគរយ,85.9
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ប្រុស,,ភាគរយ,81.3
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ប្រុស,,ភាគរយ,76.9
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ប្រុស,,ភាគរយ,80.8
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ប្រុស,,ភាគរយ,90.7
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ប្រុស,,ភាគរយ,80.2
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ប្រុស,,ភាគរយ,77.4
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ប្រុស,,ភាគរយ,73.7
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ប្រុស,,ភាគរយ,71.6
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ប្រុស,,ភាគរយ,74.0
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ប្រុស,,ភាគរយ,77.3
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ប្រុស,,ភាគរយ,79.2
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,,,ភាគរយ,83.4
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,,,ភាគរយ,75.2
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,,,ភាគរយ,83.0
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,,,ភាគរយ,86.5
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,,,ភាគរយ,83.2
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,,,ភាគរយ,79.7
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,,,ភាគរយ,76.8
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,,,ភាគរយ,75.3
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,,,ភាគរយ,77.4
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,,,ភាគរយ,80.9
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,,,ភាគរយ,82.4
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ស្រី,,ភាគរយ,82.2
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ស្រី,,ភាគរយ,84.0
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ស្រី,,ភាគរយ,91.6
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ស្រី,,ភាគរយ,88.1
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ស្រី,,ភាគរយ,94.4
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ស្រី,,ភាគរយ,92.1
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ស្រី,,ភាគរយ,87.8
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ស្រី,,ភាគរយ,88.8
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ស្រី,,ភាគរយ,88.1
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ស្រី,,ភាគរយ,91.4
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ស្រី,,ភាគរយ,91.9
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ប្រុស,,ភាគរយ,81.5
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ប្រុស,,ភាគរយ,77.9
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ប្រុស,,ភាគរយ,91.9
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ប្រុស,,ភាគរយ,97.3
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ប្រុស,,ភាគរយ,92.4
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ប្រុស,,ភាគរយ,86.8
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ប្រុស,,ភាគរយ,80.9
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ប្រុស,,ភាគរយ,79.4
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ប្រុស,,ភាគរយ,81.2
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ប្រុស,,ភាគរយ,82.8
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,ប្រុស,,ភាគរយ,83.1
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,,,ភាគរយ,81.8
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,,,ភាគរយ,80.9
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,,,ភាគរយ,91.8
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,,,ភាគរយ,92.8
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,,,ភាគរយ,93.4
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,,,ភាគរយ,89.4
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,,,ភាគរយ,84.2
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,,,ភាគរយ,84.0
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,,,ភាគរយ,84.6
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,,,ភាគរយ,87.0
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ចាម,,,ភាគរយ,87.4
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ស្រី,,ភាគរយ,88.0
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ស្រី,,ភាគរយ,97.9
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ស្រី,,ភាគរយ,89.9
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ស្រី,,ភាគរយ,88.9
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ស្រី,,ភាគរយ,91.4
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ស្រី,,ភាគរយ,90.2
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ស្រី,,ភាគរយ,87.7
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ស្រី,,ភាគរយ,84.5
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ស្រី,,ភាគរយ,85.3
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ស្រី,,ភាគរយ,87.7
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ស្រី,,ភាគរយ,87.8
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ប្រុស,,ភាគរយ,82.2
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ប្រុស,,ភាគរយ,94.4
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ប្រុស,,ភាគរយ,85.0
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ប្រុស,,ភាគរយ,94.9
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ប្រុស,,ភាគរយ,84.1
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ប្រុស,,ភាគរយ,84.1
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ប្រុស,,ភាគរយ,77.9
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ប្រុស,,ភាគរយ,79.0
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ប្រុស,,ភាគរយ,76.8
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ប្រុស,,ភាគរយ,78.0
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,ប្រុស,,ភាគរយ,79.2
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,,,ភាគរយ,85.1
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,,,ភាគរយ,96.1
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,,,ភាគរយ,87.4
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,,,ភាគរយ,92.0
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,,,ភាគរយ,87.7
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,,,ភាគរយ,87.1
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,,,ភាគរយ,82.7
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,,,ភាគរយ,81.7
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,,,ភាគរយ,80.9
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,,,ភាគរយ,82.8
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ឆ្នាំង,,,ភាគរយ,83.4
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ស្រី,,ភាគរយ,86.4
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ស្រី,,ភាគរយ,94.8
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ស្រី,,ភាគរយ,88.3
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ស្រី,,ភាគរយ,88.6
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ស្រី,,ភាគរយ,94.4
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ស្រី,,ភាគរយ,88.6
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ស្រី,,ភាគរយ,82.6
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ស្រី,,ភាគរយ,83.4
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ស្រី,,ភាគរយ,78.4
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ស្រី,,ភាគរយ,86.4
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ស្រី,,ភាគរយ,87.3
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ប្រុស,,ភាគរយ,84.5
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ប្រុស,,ភាគរយ,103.5
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ប្រុស,,ភាគរយ,92.2
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ប្រុស,,ភាគរយ,96.6
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ប្រុស,,ភាគរយ,94.0
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ប្រុស,,ភាគរយ,88.2
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ប្រុស,,ភាគរយ,79.3
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ប្រុស,,ភាគរយ,77.0
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ប្រុស,,ភាគរយ,78.6
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ប្រុស,,ភាគរយ,80.3
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,ប្រុស,,ភាគរយ,80.7
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,,,ភាគរយ,85.5
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,,,ភាគរយ,99.1
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,,,ភាគរយ,90.2
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,,,ភាគរយ,92.7
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,,,ភាគរយ,94.2
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,,,ភាគរយ,88.4
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,,,ភាគរយ,80.9
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,,,ភាគរយ,80.2
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,,,ភាគរយ,78.5
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,,,ភាគរយ,83.3
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ស្ពឺ,,,ភាគរយ,84.0
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ស្រី,,ភាគរយ,79.3
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ស្រី,,ភាគរយ,83.4
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ស្រី,,ភាគរយ,86.4
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ស្រី,,ភាគរយ,82.7
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ស្រី,,ភាគរយ,87.2
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ស្រី,,ភាគរយ,83.1
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ស្រី,,ភាគរយ,83.4
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ស្រី,,ភាគរយ,84.1
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ស្រី,,ភាគរយ,87.1
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ស្រី,,ភាគរយ,84.7
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ស្រី,,ភាគរយ,85.8
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ប្រុស,,ភាគរយ,74.8
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ប្រុស,,ភាគរយ,76.0
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ប្រុស,,ភាគរយ,82.0
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ប្រុស,,ភាគរយ,90.0
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ប្រុស,,ភាគរយ,81.3
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ប្រុស,,ភាគរយ,74.9
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ប្រុស,,ភាគរយ,69.8
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ប្រុស,,ភាគរយ,73.3
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ប្រុស,,ភាគរយ,70.8
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ប្រុស,,ភាគរយ,75.8
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,ប្រុស,,ភាគរយ,73.9
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,,,ភាគរយ,77.0
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,,,ភាគរយ,79.6
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,,,ភាគរយ,84.2
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,,,ភាគរយ,86.4
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,,,ភាគរយ,84.2
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,,,ភាគរយ,79.0
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,,,ភាគរយ,76.4
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,,,ភាគរយ,78.6
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,,,ភាគរយ,78.8
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,,,ភាគរយ,80.1
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពង់ធំ,,,ភាគរយ,79.7
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ស្រី,,ភាគរយ,84.4
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ស្រី,,ភាគរយ,87.7
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ស្រី,,ភាគរយ,90.8
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ស្រី,,ភាគរយ,89.4
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ស្រី,,ភាគរយ,92.8
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ស្រី,,ភាគរយ,91.0
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ស្រី,,ភាគរយ,85.9
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ស្រី,,ភាគរយ,84.3
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ស្រី,,ភាគរយ,77.5
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ស្រី,,ភាគរយ,80.4
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ស្រី,,ភាគរយ,77.3
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ប្រុស,,ភាគរយ,88.2
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ប្រុស,,ភាគរយ,75.4
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ប្រុស,,ភាគរយ,93.2
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ប្រុស,,ភាគរយ,98.7
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ប្រុស,,ភាគរយ,93.6
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ប្រុស,,ភាគរយ,92.2
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ប្រុស,,ភាគរយ,85.8
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ប្រុស,,ភាគរយ,82.0
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ប្រុស,,ភាគរយ,71.6
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ប្រុស,,ភាគរយ,74.5
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,ប្រុស,,ភាគរយ,70.7
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,,,ភាគរយ,86.4
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,កំពត,,,ភាគរយ,80.8
