Year,SERIES,Reference area,Degree of urbanisation,Education level,UNIT_MEASURE,Value
2017,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,0.99
2018,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,1.03
2019,4.5.2 Gender parity index in upper secondary education,Stung Treng,,Upper secondary education,Percent,1.12
2008,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,0.58
2009,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,0.71
2010,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,0.59
2011,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,0.75
2012,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,0.83
2013,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,0.84
2014,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,0.9
2015,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,0.96
2016,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,1.03
2017,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,1.13
2018,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,1.21
2019,4.5.2 Gender parity index in upper secondary education,Svay Rieng,,Upper secondary education,Percent,1.32
2008,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,0.59
2009,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,0.76
2010,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,0.71
2011,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,0.82
2012,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,0.87
2013,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,0.91
2014,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,1.0
2015,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,1.0
2016,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,1.1
2017,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,1.16
2018,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,1.22
2019,4.5.2 Gender parity index in upper secondary education,Takeo,,Upper secondary education,Percent,1.32
2014,4.5.2 Gender parity index in upper secondary education,Tboung Khmum,,Upper secondary education,Percent,1.1
2015,4.5.2 Gender parity index in upper secondary education,Tboung Khmum,,Upper secondary education,Percent,1.2
2016,4.5.2 Gender parity index in upper secondary education,Tboung Khmum,,Upper secondary education,Percent,1.29
2017,4.5.2 Gender parity index in upper secondary education,Tboung Khmum,,Upper secondary education,Percent,1.35
2018,4.5.2 Gender parity index in upper secondary education,Tboung Khmum,,Upper secondary education,Percent,1.34
2019,4.5.2 Gender parity index in upper secondary education,Tboung Khmum,,Upper secondary education,Percent,1.51
